embedding,classifier,accuracy,precision,recall,f1,auc,training_time,confusion_matrix
bge-small-zh,SVM,0.888,0.8802588996763754,0.9347079037800687,0.9066666666666666,0.9571721008237557,12.712834596633911,"[[344  74]
 [ 38 544]]"
bge-small-zh,RandomForest,0.873,0.9128856624319419,0.8642611683848798,0.8879082082965578,0.9488523323303573,1.2352983951568604,"[[370  48]
 [ 79 503]]"
bge-small-zh,XGBoost,0.88,0.8982758620689655,0.8951890034364262,0.8967297762478486,0.9502992485900787,8.791250228881836,"[[359  59]
 [ 61 521]]"
bge-small-zh,LogisticRegression,0.887,0.8764044943820225,0.9381443298969072,0.9062240663900415,0.9560581397260725,0.05826258659362793,"[[341  77]
 [ 36 546]]"
bge-base-zh,SVM,0.899,0.9042016806722689,0.9243986254295533,0.9141886151231946,0.9665523931666091,20.452257871627808,"[[361  57]
 [ 44 538]]"
bge-base-zh,RandomForest,0.894,0.9265232974910395,0.8883161512027491,0.9070175438596492,0.9599302849438498,1.5608761310577393,"[[377  41]
 [ 65 517]]"
bge-base-zh,XGBoost,0.9,0.9184027777777778,0.9089347079037801,0.9136442141623489,0.9604482151959093,14.3164541721344,"[[371  47]
 [ 53 529]]"
bge-base-zh,LogisticRegression,0.899,0.9001663893510815,0.929553264604811,0.9146238377007607,0.9655946332560548,0.08006501197814941,"[[358  60]
 [ 41 541]]"
sbert-chinese,SVM,0.859,0.8539325842696629,0.9140893470790378,0.8829875518672199,0.9263429191535539,11.51975965499878,"[[327  91]
 [ 50 532]]"
sbert-chinese,RandomForest,0.844,0.8776595744680851,0.8505154639175257,0.8638743455497382,0.9164405860010851,1.078340768814087,"[[349  69]
 [ 87 495]]"
sbert-chinese,XGBoost,0.846,0.872822299651568,0.8608247422680413,0.8667820069204152,0.9209950837731631,6.853708028793335,"[[345  73]
 [ 81 501]]"
sbert-chinese,LogisticRegression,0.859,0.8608837970540099,0.9037800687285223,0.8818105616093881,0.9251878524803103,0.08316636085510254,"[[333  85]
 [ 56 526]]"
text2vec,SVM,0.882,0.8790849673202614,0.9243986254295533,0.9011725293132329,0.950348575280751,26.103843927383423,"[[344  74]
 [ 44 538]]"
text2vec,RandomForest,0.868,0.9046762589928058,0.8642611683848798,0.8840070298769771,0.943621647840313,1.5863580703735352,"[[365  53]
 [ 79 503]]"
text2vec,XGBoost,0.866,0.8862068965517241,0.8831615120274914,0.8846815834767642,0.9441457439287065,15.399919748306274,"[[352  66]
 [ 68 514]]"
text2vec,LogisticRegression,0.87,0.8856655290102389,0.8917525773195877,0.8886986301369864,0.9255290287574607,0.7864894866943359,"[[351  67]
 [ 63 519]]"
